# SalesOrderID,OrderDate,DueDate,ShipDate,Delivery Time (in days),Delivery Status,OnlineOrderFlag,CustomerID,ContactID,SalesPersonID,Sales Person,TerritoryID,Country,ShipToAddressID,TotalDue,salesreasonId,Sales Reason
43659,2001-07-01,2001-07-13,2001-07-08,7,On time,0,676,378,279,Tsvi Michael Reiter,5,US,985,27231.5495,0,#N/A
43660,2001-07-01,2001-07-13,2001-07-08,7,On time,0,117,216,279,Tsvi Michael Reiter,5,US,921,1716.1794,0,#N/A
43661,2001-07-01,2001-07-13,2001-07-08,7,On time,0,442,281,282,José Edvaldo Saraiva,6,Canada,517,43561.4424,0,#N/A
43662,2001-07-01,2001-07-13,2001-07-08,7,On time,0,227,564,282,José Edvaldo Saraiva,6,Canada,482,38331.9613,0,#N/A
43663,2001-07-01,2001-07-13,2001-07-08,7,On time,0,510,97,276,Linda C Mitchell,4,US,1073,556.2026,0,#N/A
43664,2001-07-01,2001-07-13,2001-07-08,7,On time,0,397,458,280,Pamela O Ansman-Wolfe,1,US,876,32390.2031,0,#N/A
43665,2001-07-01,2001-07-13,2001-07-08,7,On time,0,146,114,283,David R Campbell,1,US,849,19005.2087,0,#N/A
43666,2001-07-01,2001-07-13,2001-07-08,7,On time,0,511,828,276,Linda C Mitchell,4,US,1074,6718.051,0,#N/A
43667,2001-07-01,2001-07-13,2001-07-08,7,On time,0,646,542,277,Jillian Carson,3,US,629,8095.7863,0,#N/A
43668,2001-07-01,2001-07-13,2001-07-08,7,On time,0,514,151,282,José Edvaldo Saraiva,6,Canada,529,47815.6341,0,#N/A
43669,2001-07-01,2001-07-13,2001-07-08,7,On time,0,578,295,283,David R Campbell,1,US,895,974.0229,0,#N/A
43670,2001-07-01,2001-07-13,2001-07-08,7,On time,0,504,99,275,Michael G Blythe,3,US,810,8115.6763,0,#N/A
43671,2001-07-01,2001-07-13,2001-07-08,7,On time,0,200,448,283,David R Campbell,1,US,855,10784.9873,0,#N/A
43672,2001-07-01,2001-07-13,2001-07-08,7,On time,0,119,844,282,José Edvaldo Saraiva,6,Canada,464,8116.2564,0,#N/A
43673,2001-07-01,2001-07-13,2001-07-08,7,On time,0,618,398,275,Michael G Blythe,2,US,821,4944.3422,0,#N/A
43674,2001-07-01,2001-07-13,2001-07-08,7,On time,0,83,131,282,José Edvaldo Saraiva,6,Canada,458,3479.9306,0,#N/A
